Equipo,Tiros,A_Gol,Goles,Ratio_TiroAGolxTiro,Ratio_GolxTiro,Ratio_GolxTiroAGol
Cruz Azul,13,4,1,0.307692308,0.076923077,0.25
Cruz Azul,12,2,1,0.166666667,0.083333333,0.5
Cruz Azul,18,3,1,0.166666667,0.055555556,0.333333333
Cruz Azul,15,6,4,0.4,0.266666667,0.666666667
Cruz Azul,15,5,0,0.333333333,0,0
Cruz Azul,17,6,1,0.352941176,0.058823529,0.166666667
Cruz Azul,13,2,0,0.153846154,0,0
Cruz Azul,18,6,2,0.333333333,0.111111111,0.333333333
Cruz Azul,15,4,3,0.266666667,0.2,0.75
Cruz Azul,23,3,1,0.130434783,0.043478261,0.333333333
Cruz Azul,9,3,2,0.333333333,0.222222222,0.666666667
Cruz Azul,9,2,1,0.222222222,0.111111111,0.5
Cruz Azul,14,4,0,0.285714286,0,0
Cruz Azul,14,4,1,0.285714286,0.071428571,0.25
Cruz Azul,22,5,1,0.227272727,0.045454545,0.2
Cruz Azul,25,5,0,0.2,0,0
Cruz Azul,14,8,5,0.571428571,0.357142857,0.625
Cruz Azul,16,4,2,0.25,0.125,0.5
Cruz Azul,12,2,1,0.166666667,0.083333333,0.5
Cruz Azul,15,6,1,0.4,0.066666667,0.166666667
Cruz Azul,11,3,1,0.272727273,0.090909091,0.333333333
Cruz Azul,14,7,3,0.5,0.214285714,0.428571429
Cruz Azul,9,3,1,0.333333333,0.111111111,0.333333333
Cruz Azul,9,4,1,0.444444444,0.111111111,0.25
Cruz Azul,22,7,3,0.318181818,0.136363636,0.428571429
Cruz Azul,13,6,3,0.461538462,0.230769231,0.5
Cruz Azul,18,7,3,0.388888889,0.166666667,0.428571429
Cruz Azul,11,4,2,0.363636364,0.181818182,0.5
Cruz Azul,14,7,2,0.5,0.142857143,0.285714286
Cruz Azul,8,5,2,0.625,0.25,0.4
Cruz Azul,14,11,4,0.785714286,0.285714286,0.363636364
Cruz Azul,17,10,4,0.588235294,0.235294118,0.4
Cruz Azul,20,9,4,0.45,0.2,0.444444444
Chivas,10,4,2,0.4,0.2,0.5
Chivas,13,4,1,0.307692308,0.076923077,0.25
Chivas,10,2,1,0.2,0.1,0.5
Chivas,14,5,0,0.357142857,0,0
Chivas,13,6,0,0.461538462,0,0
Chivas,17,7,3,0.411764706,0.176470588,0.428571429
Chivas,12,5,3,0.416666667,0.25,0.6
Chivas,15,4,1,0.266666667,0.066666667,0.25
Chivas,12,6,0,0.5,0,0
Chivas,18,4,0,0.222222222,0,0
Chivas,4,1,0,0.25,0,0
Chivas,12,3,0,0.25,0,0
Chivas,12,5,1,0.416666667,0.083333333,0.2
Chivas,9,4,0,0.444444444,0,0
Chivas,15,5,0,0.333333333,0,0
Chivas,17,7,1,0.411764706,0.058823529,0.142857143
Chivas,4,2,2,0.5,0.5,1
Chivas,15,5,1,0.333333333,0.066666667,0.2
Chivas,10,5,0,0.5,0,0
Chivas,10,5,2,0.5,0.2,0.4
Chivas,4,2,1,0.5,0.25,0.5
Chivas,10,5,2,0.5,0.2,0.4
Chivas,13,6,3,0.461538462,0.230769231,0.5
Chivas,12,3,3,0.25,0.25,1
Chivas,17,7,1,0.411764706,0.058823529,0.142857143
Chivas,10,3,1,0.3,0.1,0.333333333
Chivas,9,1,0,0.111111111,0,0
Chivas,15,3,1,0.2,0.066666667,0.333333333
Chivas,21,6,0,0.285714286,0,0
Chivas,13,6,2,0.461538462,0.153846154,0.333333333
