Equipo,Tiros,A_Gol,Goles
Chivas,12,5,3
Chivas,15,4,1
Chivas,12,6,0
Chivas,18,4,0
Chivas,4,1,0
Chivas,12,3,0
Chivas,12,5,1
Chivas,9,4,0
Chivas,15,5,0
Chivas,17,7,1
Chivas,4,2,2
Chivas,15,5,1
Chivas,10,5,0
Chivas,10,5,2
Chivas,4,2,1
Chivas,10,5,2
Chivas,13,6,3
Chivas,12,3,3
Chivas,17,7,1
Chivas,10,3,1
Chivas,9,1,0
Chivas,15,3,1
Chivas,21,6,0
Chivas,13,6,2
Chivas,4,2,1
Chivas,10,5,1
Chivas,10,2,1
Chivas,19,9,2
Chivas,23,3,0
Chivas,19,8,3
Chivas,5,3,2
Chivas,7,4,3
Chivas,14,3,3
Chivas,20,6,2
Chivas,12,1,0
Chivas,25,5,1
Chivas,8,3,2
Chivas,4,3,2
Chivas,11,4,0
Chivas,19,9,1
Chivas,7,3,1
Chivas,12,4,2
Chivas,14,4,2
,,,
Club Leon,14,4,2
Club Leon,10,2,2
Club Leon,7,4,3
Club Leon,27,7,0
Club Leon,24,13,4
Club Leon,14,5,2
Club Leon,4,1,1
Club Leon,11,6,3
Club Leon,16,5,3
Club Leon,24,8,3
Club Leon,10,5,3
Club Leon,12,5,1
Club Leon,22,9,2
Club Leon,13,6,3
Club Leon,19,5,2
Club Leon,13,5,3
Club Leon,13,8,5
Club Leon,12,3,1
Club Leon,13,3,2
Club Leon,16,6,3
Club Leon,29,8,2
Club Leon,6,2,1
Club Leon,9,1,0
Club Leon,9,4,0
Club Leon,14,5,0
Club Leon,13,5,3
Club Leon,11,2,0
Club Leon,4,3,2
Club Leon,16,8,4
Club Leon,12,8,4
Club Leon,15,9,2
Club Leon,9,6,1
Club Leon,17,10,3
Club Leon,16,4,4
Club Leon,16,7,1
Club Leon,9,3,1
Club Leon,20,6,1
Club Leon,15,6,2
Club Leon,14,6,3
Club Leon,14,4,0
Club Leon,9,2,1
Club Leon,16,11,4
Club Leon,7,4,2
Club Leon,13,4,3
Club Leon,18,6,1
Club Leon,8,5,3
Club Leon,10,3,2
Club Leon,15,9,3
Club Leon,9,5,2
Club Leon,15,6,3
Club Leon,7,3,1
Club Leon,13,5,2
Club Leon,5,3,2
Club Leon,20,10,3
Club Leon,8,2,0
Club Leon,20,6,4
Club Leon,14,5,3
,,,
FC Juarez,14,2,0
FC Juarez,1,0,0
FC Juarez,13,4,2
FC Juarez,12,5,0
FC Juarez,10,4,0
FC Juarez,11,3,1
FC Juarez,14,5,1
FC Juarez,4,1,1
FC Juarez,11,3,2
FC Juarez,10,2,1
FC Juarez,10,4,0
FC Juarez,19,3,1
FC Juarez,8,1,1
FC Juarez,10,4,1
FC Juarez,10,4,1
FC Juarez,10,7,3
FC Juarez,8,1,1
FC Juarez,9,7,1
FC Juarez,3,0,0
FC Juarez,10,7,4
FC Juarez,2,1,2
FC Juarez,14,4,3
FC Juarez,6,4,3
FC Juarez,18,8,3
FC Juarez,15,5,2
FC Juarez,4,2,1
FC Juarez,17,5,1
FC Juarez,9,5,3
FC Juarez,8,5,2
FC Juarez,8,1,1
FC Juarez,1,1,0
FC Juarez,10,6,2
